"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Transport","Transport Focus","Transport Focus","CEO","Band C","24454","37336","Communications Support Officer","1.00","Operational Delivery Profession","London"
"Department for Transport","Transport Focus","Transport Focus","CEO","Band C","24454","37336","Communications Support Officer","1.00","Operational Delivery Profession","North West"
"Department for Transport","Transport Focus","Transport Focus","CEO","Band E","49721","69579","Senior Communications Manager","1.00","Operational Delivery Profession","London"
"Department for Transport","Transport Focus","Transport Focus","CEO","Band E","49721","69579","Senior Manager","0.60","Operational Delivery Profession","London"
"Department for Transport","Transport Focus","Transport Focus","CEO","Band E","49721","69579","Senior Business Support Manager","1.00","Operational Delivery Profession","London"
"Department for Transport","Transport Focus","Transport Focus","CEO","Band E","49721","69579","Business Development Manager","1.00","Operational Delivery Profession","London"
"Department for Transport","Transport Focus","Transport Focus","CEO","Band D","34969","52655","Operations Support Officer","1.00","Operational Delivery Profession","London"
"Department for Transport","Transport Focus","Transport Focus","CEO","Band D","34969","52655","Business Support","0.60","Operational Delivery Profession","London"
"Department for Transport","Transport Focus","Transport Focus","CEO","Band D","34969","52655","Operations Support Officer","1.00","Operational Delivery Profession","North West"
"Department for Transport","Transport Focus","Transport Focus","PTD2011","Band D","34969","52655","Relationship Manager","3.00","Operational Delivery Profession","North West"
"Department for Transport","Transport Focus","Transport Focus","PTD2011","Band D","34969","52655","Relationship Manager","1.00","Operational Delivery Profession","Wales"
"Department for Transport","Transport Focus","Transport Focus","PTD2011","Band E","49721","69579","Senior Manager","2.00","Operational Delivery Profession","North West"
"Department for Transport","Transport Focus","Transport Focus","PTD2011","Band E","49721","69579","Senior Manager","1.00","Operational Delivery Profession","Scotland"
"Department for Transport","Transport Focus","Transport Focus","RPCFD","Band C","24454","37336","Accounting Support Officer","0.50","Government Finance Profession","North West"
"Department for Transport","Transport Focus","Transport Focus","RPCFD","Band C","24454","37336","Finance Officer","1.00","Government Finance Profession","North West"
"Department for Transport","Transport Focus","Transport Focus","RPCFD","Band C","24454","37336","Programme Support Officer","1.00","Operational Delivery Profession","North West"
"Department for Transport","Transport Focus","Transport Focus","RPCFD","Band C","24454","37336","HR Officer","0.80","Human Resources Profession","London"
"Department for Transport","Transport Focus","Transport Focus","RPCFD","Band D","34969","52655","Finance Manager","1.00","Government Finance Profession","North West"
"Department for Transport","Transport Focus","Transport Focus","RPCFD","Band D","34969","52655","IT Manager","1.00","Operational Delivery Profession","North West"
"Department for Transport","Transport Focus","Transport Focus","RPCFD","Band D","34969","52655","HR Business Partner","1.00","Human Resources Profession","North West"
"Department for Transport","Transport Focus","Transport Focus","HOP2016","Band D","34969","52655","Policy Adviser","1.00","Policy Profession","London"
"Department for Transport","Transport Focus","Transport Focus","HOP2016","Band D","34969","52655","Policy Adviser","1.00","Policy Profession","North West"
"Department for Transport","Transport Focus","Transport Focus","HOP2016","Band E","49721","69579","Senior Manager","1.00","Operational Delivery Profession","South East"
"Department for Transport","Transport Focus","Transport Focus","HTUS2016","Band D","34969","52655","Policy Adviser","1.00","Policy Profession","London"
"Department for Transport","Transport Focus","Transport Focus","HTUS2016","Band D","34969","52655","Relationship Manager","1.00","Operational Delivery Profession","London"
"Department for Transport","Transport Focus","Transport Focus","HTUS2016","Band D","34969","52655","Relationship Manager","1.00","Operational Delivery Profession","West Midlands"
"Department for Transport","Transport Focus","Transport Focus","HTUS2016","Band E","49721","69579","Senior Manager","1.00","Operational Delivery Profession","East of England"
"Department for Transport","Transport Focus","Transport Focus","HTUS2016","Band E","49721","69579","Senior Manager","0.60","Operational Delivery Profession","South West"
"Department for Transport","Transport Focus","Transport Focus","HOI2016","Band C","24454","37336","Insight Project Manager","1.00","Government Social Research Profession","London"
"Department for Transport","Transport Focus","Transport Focus","HOI2016","Band D","34969","52655","Insight Project Manager","5.00","Government Social Research Profession","London"
